paper_id,mark
7E5A8BAE,1
7F9CC6BF,1
8075BF95,1
7E1BC466,1
7E28D7EB,1
7CF331DC,1
7E3670AD,1
7E6B4F1A,1
76D33406,1
76D91C9C,1
7778C92B,1
03598C1C,1
7E616953,1
76946AF3,1
7DD5475E,1
76C3FA80,1
7CD182D0,1
8202A398,1
7910218C,1
80DE6524,1
80F48BCE,1
7CE82F9C,1
752C606A,1
7A69A58A,1
7A7901C6,1
7662C253,1
60AEF77E,1
7DCA8465,1
78B12751,1
7F65A37E,1
7A9D15F0,1
7CAFF0A0,1
7D645861,1
7ACA7ED0,1
7FE8DD5C,1
7F12B83D,1
78CA853B,1
78F58299,1
7BA820A5,1
80C25D6A,1
786D4F82,1
762869D8,1
7632A99F,1
7A05081D,1
7CAF9C61,1
757B4322,1
75857A36,1
806BDB09,1
80748739,1
799D6246,1
77038933,1
77024015,1
7E0F9DF5,1
77102609,1
8109CCE1,1
7EA8C689,1
0A275830,1
7EA9BBD1,1
78102193,1
811AD684,1
7C5EB710,1
809DF9FE,1
7B90D9AA,1
7E2E7C25,1
5A771EBF,1
775E84E3,1
7769AD38,1
77668323,1
7B75C693,1
5CB0EBF1,1
806C88EF,1
80A0DDC0,1
79041602,1
79C654EF,1
8049C66D,1
7AE302F1,1
7F48271C,1
79247AA1,1
7F4F13EB,1
792C56A5,1
80A9E96E,1
7BDFB1FD,1
5AF2AB85,1
7BE191BD,1
7FD60E54,1
7FD79B74,1
7A30E184,1
7A311BB2,1
7FB9B3E5,1
5CCA15C1,1
7B8E3D48,1
80E315BD,1
7B8DD472,1
7B9017F5,1
7CEDFB51,1
75162FAE,1
637E038E,1
7FEAA7CF,1
5A55A286,1
7FEF2041,1
6A37664F,1
78EFB0CD,1
78F51C97,1
772AE0A6,1
7CF5D2D6,1
7E869620,1
7EB40138,1
776AD1FE,1
7BBBF672,1
843764CB,1
77541E16,1
80CF8033,1
80708473,1
77D701D0,1
7E3FCCCA,1
751EFEA9,1
80F88177,1
7C110F0C,1
786B08A9,1
79ECA219,1
78192F72,1
7D8C6903,1
80FDAEF8,1
7CFB2FB8,1
81007AE1,1
7D8CABEE,1
5C8FDC2A,1
7D017B23,1
753D6F12,1
82271059,1
796ECB18,1
796E4BBE,1
5C84C231,1
7A4D4148,1
77D6BDA9,1
7A685767,1
7A9F9170,1
816337C6,1
7626A695,1
7D970508,1
79F28DEE,1
7FC10BA5,1
7FC511B4,1
7A0341C7,1
7A03B8C5,1
7A095447,1
795E1B19,1
805A27A7,1
5F79A876,1
7C2C6CE7,1
800A731C,1
8059D04F,1
813BD0D4,1
814B1CAA,1
800A125C,1
77DE937A,1
77671A45,1
7663DBB2,1
7EF136B1,1
7AB2E218,1
808C3792,1
8089442C,1
80854607,1
7B3F1ED3,1
7706F503,1
7CB7E294,1
770E0444,1
807D6459,1
770EAE60,1
80775572,1
0977A3D5,1
7B28DE53,1
780C4163,1
7F65C192,1
77E158EE,1
73FD46D6,1
79CECBD3,1
7E175A08,1
771DC72B,1
7E23602F,1
7E9BD3FC,1
7789FE59,1
7E5B8122,1
778E5D06,1
7E6A105D,1
8165C886,1
78254A13,1
7DA6F60C,1
7D4E7F86,1
769BE4B3,1
7DD56805,1
758D7987,1
04F6921E,1
76A7B87D,1
777845A9,1
7E50A886,1
76D5984B,1
59D29CDD,1
7DE2FC1C,1
58E25FE9,1
7EB65E54,1
7E8AD73F,1
76D6AD6A,1
7A820328,1
79A43F7E,1
5941484A,1
7833E780,1
760C1320,1
75DB7E55,1
75ECCE65,1
7EC1FF62,1
811F55C5,1
7D129331,1
7ABA953E,1
7D13BFD7,1
79A1A501,1
587BF514,1
7C4741BF,1
817648D0,1
812ECF4F,1
7638A229,1
812EA545,1
7D193A4C,1
77C0158F,1
7C6C9524,1
7F7B46F7,1
ED8941B4,1
27359BEA,1
5B083707,1
DF9494FA,1
249406A0,1
3C82BDE2,1
C46B5645,1
1608F399,1
